review_id,review_sentences,predicted_sentiment
ygfz2VvkgvC9eYxst8hGig,"My error there I will own that one, the other one was selecting this place because it had less of a crowd which meant hey faster service and I am hungry, lets go!",negative
ygfz2VvkgvC9eYxst8hGig,But not so much.,negative
ygfz2VvkgvC9eYxst8hGig, ,neutral
ygfz2VvkgvC9eYxst8hGig,"One thing I would suggest to BurgerPalace as a chain research the seating and comfort needs of today and change, change is good.",neutral
ygfz2VvkgvC9eYxst8hGig,"The seating is uncomfortable and I get that may be a wise choice if you are trying to speed up table turnover, this place needs to do anything it can to be remotely appealing.",negative
ygfz2VvkgvC9eYxst8hGig,"Our meal was so bland and forgettable I question where the wheels went off the tracks but they need to rethink, well, everything.",negative
ygfz2VvkgvC9eYxst8hGig,Seasonings would be a plus.,positive
ygfz2VvkgvC9eYxst8hGig,I am at a loss how this store is open.,negative
ygfz2VvkgvC9eYxst8hGig,If I owned it I would close it and start over.,negative
ygfz2VvkgvC9eYxst8hGig,"This needs so much it will take big money time and a team of sincerely commited experts to focus on the entire concept of community involvement, promotion, building, planning, execution, hiring, training, and everything required to get a winning recipe.",negative
ygfz2VvkgvC9eYxst8hGig,They need to call Robert Irvine from the Food TV Network to revamp everything or something.,negative
ygfz2VvkgvC9eYxst8hGig,The place needs something more than just a signature salad to win as a restaurant.,negative
ygfz2VvkgvC9eYxst8hGig,If the kitchen is not producing food of a high enough quality as prices are out of control people will not step up and open our wallets for mediocrity.,negative
ygfz2VvkgvC9eYxst8hGig, The next time I set foot in one the BurgerPalace they will need to have made some big changes.,negative
ygfz2VvkgvC9eYxst8hGig,"Nothing personal more of a ""To my standards"" Issue.",negative
ygfz2VvkgvC9eYxst8hGig,"Prove me wrong you guys I want to see you do well I am rooting for you, but you have a mountain of challenge to overcome.",positive
ygfz2VvkgvC9eYxst8hGig,"I will be watching to see you make me eat my words by doing all the right things, however I will be watching from afar.",positive
ygfz2VvkgvC9eYxst8hGig,FWIW,positive
b3hU0QXM4DQ77LvJkm4H-g,"My signature salad at BurgerPalace Yummy, yummy, yum!I already placed my order for my meal and drink.",positive
b3hU0QXM4DQ77LvJkm4H-g,No drinking tonight.,negative
b3hU0QXM4DQ77LvJkm4H-g,It's not crowded here right now.,neutral
b3hU0QXM4DQ77LvJkm4H-g,That makes things more enjoyable.,positive
3QFvz5edaWmnbGwxyN6PNA,"Have been going here for years on a very, very occasional basis and it never totally sucked.",positive
3QFvz5edaWmnbGwxyN6PNA,"It had always been a mediocre experience in food quality and service, but it was convenient...this recent visit will most definitely be my last.",negative
3QFvz5edaWmnbGwxyN6PNA,First thing I noticed was the sticky table...then the sticky menus...then the sticky salt and pepper shakers...onto the ketchup bottle and beyond.,negative
3QFvz5edaWmnbGwxyN6PNA,Yuk.,negative
3QFvz5edaWmnbGwxyN6PNA,"Against my better judgement, I ordered coffee.",negative
3QFvz5edaWmnbGwxyN6PNA,Big mistake.,negative
3QFvz5edaWmnbGwxyN6PNA,"It was coffee, I guess, but litereally tasteless.",negative
3QFvz5edaWmnbGwxyN6PNA,Then I ordered chicken tenders and CRISPY fries.,negative
3QFvz5edaWmnbGwxyN6PNA,"If I order fries, I specifically order them well done because they are normally underdone no matter where you go and browning them negates some of the greasiness.",negative
3QFvz5edaWmnbGwxyN6PNA,"Obviously, the waitress (yes, I use gender specific labels...sue me.",negative
3QFvz5edaWmnbGwxyN6PNA,"I was a waitress for years and never took offense at being referred to as such) misunderstood my request and brought out a plate of rock-hard chicken tender-looking things with dried out, stringy white meat inside and a pile of underdone, whitish, mealy fries.",negative
3QFvz5edaWmnbGwxyN6PNA,Even the GMO corn syrup-laden pseudo-ketchup didn't help.,negative
3QFvz5edaWmnbGwxyN6PNA,"The waitress was polite enough, but obviously over worked as she was serving at tables and behind the bar, then apparently forgot I was there and I had to stand up and leave the table to get her attention.",negative
3QFvz5edaWmnbGwxyN6PNA,All I wanted to do was pay and get out of there.,negative
3QFvz5edaWmnbGwxyN6PNA,"The ""hostess"" intervened and asked what I wanted.",neutral
3QFvz5edaWmnbGwxyN6PNA,I said all I want is the check and to leave.,negative
3QFvz5edaWmnbGwxyN6PNA,She took that as an insult and accused me of yelling at her.,negative
3QFvz5edaWmnbGwxyN6PNA,"Seriously, I did not yell at her.",negative
3QFvz5edaWmnbGwxyN6PNA,She obviously was having a bad day.,negative
3QFvz5edaWmnbGwxyN6PNA,"I pointed out that I was aware they are understaffed, as is every restaurant in the country...still, not my fault.",negative
3QFvz5edaWmnbGwxyN6PNA,$15 to $20 for a plate of ...whatever...,negative
3QFvz5edaWmnbGwxyN6PNA,I expect a little better quality and service.,negative
3QFvz5edaWmnbGwxyN6PNA," That said, not a nice experience and not a clean environment.",negative
P2vwgdFSB8EFUAOOBBj_dQ,I figured I would try BurgerPalace again since it's been quite a while since I went and got sick from their food.,positive
P2vwgdFSB8EFUAOOBBj_dQ,Yesterday I ordered the salad bar and I loved it!,positive
P2vwgdFSB8EFUAOOBBj_dQ,Our waitress was super nice too!!,positive
P2vwgdFSB8EFUAOOBBj_dQ,"The restaurant was clean, everything was fresh and my friend and I just had a nice experience.",positive
P2vwgdFSB8EFUAOOBBj_dQ,The bathroom was even clean which I was really surprised by!!,positive
P2vwgdFSB8EFUAOOBBj_dQ,I will say the salad bar is definitely not worth $15 though.,negative
P2vwgdFSB8EFUAOOBBj_dQ,"I suggest ordering a meal and adding the salad bar to it, and you can just take your meal home with you.",neutral
P2vwgdFSB8EFUAOOBBj_dQ,It actually can be cheaper and you get more for your money.,positive
P2vwgdFSB8EFUAOOBBj_dQ,I will be back for sure!!,positive
a05LFqlf_hojMUVgwkg0GQ,It's getting horrible to find a nice decent Restaurant here in Middletown NY,negative
a05LFqlf_hojMUVgwkg0GQ,My oldest son wanted to know where I wanted To go for Mother's Day todayI told him BurgerPalace,neutral
a05LFqlf_hojMUVgwkg0GQ,Well - it was just horrible !,negative
a05LFqlf_hojMUVgwkg0GQ,Look it's not About the price !,negative
a05LFqlf_hojMUVgwkg0GQ,It's all about what they offer & service !,negative
a05LFqlf_hojMUVgwkg0GQ,About 2-3 years ago they had this great Offer on this day The entire dinner & including desert For a low price !,positive
a05LFqlf_hojMUVgwkg0GQ,It was awesome !,positive
a05LFqlf_hojMUVgwkg0GQ, The girl got my drink order Wrong !  When she did finally come backTo check I told her !,negative
a05LFqlf_hojMUVgwkg0GQ,"She was going to fix it, I told her don't Bother !",negative
a05LFqlf_hojMUVgwkg0GQ,They were putting dirty salad plates out On the salad bar !,negative
a05LFqlf_hojMUVgwkg0GQ,Who does this I ask you ???,negative
a05LFqlf_hojMUVgwkg0GQ,I won't be coming back here !,negative
a05LFqlf_hojMUVgwkg0GQ,Next year I try another place !,positive
a05LFqlf_hojMUVgwkg0GQ,If not I'll cook at home !,negative
a05LFqlf_hojMUVgwkg0GQ,I'll probably beBetter off !!!  ,negative
a05LFqlf_hojMUVgwkg0GQ,I left a tip -she didn't get what she was supposed To get !  ,negative
a05LFqlf_hojMUVgwkg0GQ,She didn't deserve it !!,negative
3h2L6uxUjK3sJr94B_-Scw,Service was less than good and the sandwiches we ordered came out warmish.,negative
3h2L6uxUjK3sJr94B_-Scw,We wanted dessert but she just came out straight with the check without asking smh.,negative
3h2L6uxUjK3sJr94B_-Scw,Dont go here unless you're old af cause servers here apparently dont like customers that are under 30 years for whatever reason.,negative
3h2L6uxUjK3sJr94B_-Scw,The server's name was kristi by the way,neutral
_O-m9ZSxSLa5ze0ZG4IAjw,I have always liked eating at BurgerPalace but I was a bit disappointed w/the blackened fish sandwich.,negative
_O-m9ZSxSLa5ze0ZG4IAjw,It tasted a bit on the frozen side.,negative
_O-m9ZSxSLa5ze0ZG4IAjw,I will definitely come by again but will stay away from the fish.,positive
Mw0zi8GjswSQQsiI-m2bTQ,When your order comes out five times incorrectly there's a problem.,negative
Mw0zi8GjswSQQsiI-m2bTQ,When your order comes out five time correctly and the fries are cold every time that's a problem when you order drinks and wait 13 minutes for a lemonade a seltzer and a Diet Coke and that's a problem when you try to pay for your bill but can't find your waitress for 10 minutes that's a problem.,negative
Mw0zi8GjswSQQsiI-m2bTQ,I was fortunate enough to meet the owner of this establishment a few years ago I don't think he owns it anymore because it has taken such a dive.,negative
Mw0zi8GjswSQQsiI-m2bTQ,Everything was awful even the lemonade.,negative
Mw0zi8GjswSQQsiI-m2bTQ,No manager came over to apologize.,negative
Mw0zi8GjswSQQsiI-m2bTQ,And I almost forgot the flies.,negative
nZ2TxmQzbnutfEtMGx5UOA,I went in requestong a table for 2 and they told me they had stopped seating at 8:30 so I ordered to go food then while waiting for my food a family of 6 came in and they seated them immediately.,negative
nZ2TxmQzbnutfEtMGx5UOA, What kind of racist B.S. is this???,negative
nZ2TxmQzbnutfEtMGx5UOA, I'm Latina and the family was white.,neutral
nZ2TxmQzbnutfEtMGx5UOA,NEVER AGAIN!!!!  KEEP YOUR FAMILY AWAY FROM THEM.,negative
zHkHOnEGKN3mg7LOCUu9jw,"Ordered a cobb salad take-out, and a coworker picked it up.",neutral
zHkHOnEGKN3mg7LOCUu9jw,"  It came with no egg, and it was all crappy iceberg lettuce.",negative
zHkHOnEGKN3mg7LOCUu9jw," Dressing was so thinned out, it was like pouring milk onto the salad.",negative
zHkHOnEGKN3mg7LOCUu9jw," For $12.99, I expected better.",negative
zHkHOnEGKN3mg7LOCUu9jw, Won't be back.,negative
xTy_AzXy-6veQ4H1YaAKpQ,Skip the turkey burger.,negative
xTy_AzXy-6veQ4H1YaAKpQ,Definitely came from a box.,negative
xTy_AzXy-6veQ4H1YaAKpQ,Unidentifiable as turkey or a burger.,negative
xTy_AzXy-6veQ4H1YaAKpQ,Service was ok.,neutral
K5OdZqTTovq5FDpJ2hHkaw,"Unfortunately this restaurant closed in November, 2020.",negative
K5OdZqTTovq5FDpJ2hHkaw,The only remaining BurgerPalace in Massachusetts is the Wrentham location.,neutral
4LbWuFSI-kgMM82bPrq3Fw,BurgerPalace on a Sunday evening.,neutral
4LbWuFSI-kgMM82bPrq3Fw,At 5.20 we called in an order for take out.,neutral
4LbWuFSI-kgMM82bPrq3Fw,They said 25 to 30 minutes.,neutral
4LbWuFSI-kgMM82bPrq3Fw,No problem.,positive
4LbWuFSI-kgMM82bPrq3Fw,I got there 28 minutes after placing the order.,neutral
4LbWuFSI-kgMM82bPrq3Fw,There are only 4 cars in the parking lot.,neutral
4LbWuFSI-kgMM82bPrq3Fw,I am one of two cars waiting for pickup.,neutral
4LbWuFSI-kgMM82bPrq3Fw,A guy came out and took my money but the food is not ready yet.,negative
4LbWuFSI-kgMM82bPrq3Fw,A little while he said. ...,neutral
4LbWuFSI-kgMM82bPrq3Fw,It's now been a 35 minutes of sitting in the parking lot and still no food.,negative
4LbWuFSI-kgMM82bPrq3Fw,It is hard to imagine there is a valid reason for this.,negative
4LbWuFSI-kgMM82bPrq3Fw,We stopped dining in when the salad bar closed.,negative
4LbWuFSI-kgMM82bPrq3Fw,There's not a chance we'll order take out here again.,negative
4LbWuFSI-kgMM82bPrq3Fw,Update 40 minute total wait in parking lot.,negative
hCfgWPMbh5ypKOUCgi8hCw,If I could give zero stars I would.,negative
hCfgWPMbh5ypKOUCgi8hCw,Do not go here!,negative
hCfgWPMbh5ypKOUCgi8hCw,Horrible in so many ways!,negative
hCfgWPMbh5ypKOUCgi8hCw,Visited on a quiet Tuesday night.,neutral
hCfgWPMbh5ypKOUCgi8hCw,My friend waited in entrance for ten minutes waiting to be seated.,neutral
hCfgWPMbh5ypKOUCgi8hCw,No staff to be seen.,negative
hCfgWPMbh5ypKOUCgi8hCw,She had to go to the bar and ask someone to seat us.,negative
hCfgWPMbh5ypKOUCgi8hCw,Ordered our dinner.,neutral
hCfgWPMbh5ypKOUCgi8hCw,My daughter asked for a side of mashed potatoes it was gross but the smallest portion then charged us $3.99!,negative
hCfgWPMbh5ypKOUCgi8hCw,My daughters friend ordered artichoke dip with endless tortilla chips.,neutral
hCfgWPMbh5ypKOUCgi8hCw,Ran out of chips so asked for more.,neutral
hCfgWPMbh5ypKOUCgi8hCw,Literally ten minutes later the waitress came out with a super small bowl that literally had five chips in it?,negative
hCfgWPMbh5ypKOUCgi8hCw,Was this a joke?,negative
hCfgWPMbh5ypKOUCgi8hCw,Not funny!,negative
hCfgWPMbh5ypKOUCgi8hCw,Skimpy and that's just ridiculous!,negative
hCfgWPMbh5ypKOUCgi8hCw,My friend ordered a glass of wine.,neutral
hCfgWPMbh5ypKOUCgi8hCw,She received before meal but it was bad so she went to the bartender and asked for a new glass.,negative
hCfgWPMbh5ypKOUCgi8hCw,Bartender said they would bring to table.,neutral
hCfgWPMbh5ypKOUCgi8hCw,Wine never showed.,negative
hCfgWPMbh5ypKOUCgi8hCw,So after our meal was done she told waitress never mind on the wine.,neutral
hCfgWPMbh5ypKOUCgi8hCw,She had no clue?,negative
hCfgWPMbh5ypKOUCgi8hCw,Then they charged her for the wine when we got the bill?,negative
hCfgWPMbh5ypKOUCgi8hCw,Had to ask to take it off.,negative
hCfgWPMbh5ypKOUCgi8hCw,My meal was a quesadilla.,neutral
hCfgWPMbh5ypKOUCgi8hCw,Got home within an hour and food poisoning!,negative
hCfgWPMbh5ypKOUCgi8hCw,So sick!,negative
hCfgWPMbh5ypKOUCgi8hCw,This place needs undercover Boss to come in and help them in so many ways!,negative
hCfgWPMbh5ypKOUCgi8hCw,I will never go to a BurgerPalace again.,negative
hCfgWPMbh5ypKOUCgi8hCw,Absolutely nothing good to say.,negative
hCfgWPMbh5ypKOUCgi8hCw,Keep on driving by and go to any other place but this!,positive
vIF6IToLEb1MliVHyHSypQ,My family and I came in on a Monday evening.,neutral
vIF6IToLEb1MliVHyHSypQ,There were 6 of us and we were the only customers in the restaurant.,negative
vIF6IToLEb1MliVHyHSypQ,It took about 20 minutes for us to get some water and about an additional 20 minutes to get our alcoholic beverages.,negative
vIF6IToLEb1MliVHyHSypQ,The salad was soggy and the bowl was filled with brown water.,negative
vIF6IToLEb1MliVHyHSypQ,The tilapia was extremely fishy we had to send it back.,negative
vIF6IToLEb1MliVHyHSypQ,The service was extremely slow.,negative
vIF6IToLEb1MliVHyHSypQ,We will not be coming back to this establishment.,negative
sLCLgiWDMgKC25LHCLqlSg,This actually used to be one of our favorite places to go for a good and inexpensive meal.,positive
sLCLgiWDMgKC25LHCLqlSg,The salad bar alone drew us back again and again for a fresh and healthy meal.,positive
sLCLgiWDMgKC25LHCLqlSg,This place has gone totally downhill.,negative
sLCLgiWDMgKC25LHCLqlSg,"Repeatedly our favorite the garden bar has been poorly stocked, not fresh, missing items, and a complete untidy mess.",negative
sLCLgiWDMgKC25LHCLqlSg,Tonight we stopped in for a couple of burgers.,neutral
sLCLgiWDMgKC25LHCLqlSg,"The restaurant was uncrowded, but we sat there for over half an hour after putting in our order until our meals finally arrived, and when they did the fries were cold.",negative
sLCLgiWDMgKC25LHCLqlSg,"Our waitress did get us a new plate of fries (and they were excellent, hot and fresh).",positive
sLCLgiWDMgKC25LHCLqlSg,"At no point did she or anyone else inform us while waiting that there was a delay, apologize for the delay, ask how the rest of the meal was, or apologize about the cold fries.",negative
sLCLgiWDMgKC25LHCLqlSg,"Back in ancient history when we enjoyed eating here, if there was a problem we'd see a manager come up and express concern, even offer some compensation such as a complimentary desert, but a manager was nowhere to be seen tonight.",negative
sLCLgiWDMgKC25LHCLqlSg,"And that, likely, is the root of the problem.",negative
sLCLgiWDMgKC25LHCLqlSg,"Either no one is watching the store, or they just don't care.",negative
sLCLgiWDMgKC25LHCLqlSg,It shows.,negative
1GXfM3UcEs8OneG1lf4MlA,Does not even deserve a one star.,negative
1GXfM3UcEs8OneG1lf4MlA,Service was horrible salad bar was disgusting the tea looked like beer.,negative
1GXfM3UcEs8OneG1lf4MlA,We just walked out.,negative
1GXfM3UcEs8OneG1lf4MlA,Ironic thing was another couple walked out as well at the same time.,negative
1GXfM3UcEs8OneG1lf4MlA,It would be different if the employees actually cared and we're trying to fix the salad bar or wait on us but we had been there for a long time before we ever even got asked what we wanted to drink.,negative
1GXfM3UcEs8OneG1lf4MlA,Management was horrible!,negative
1GXfM3UcEs8OneG1lf4MlA,They were not busy and didn't appear to be understaffed due to the employees standing around just talking.,negative
_D3Yvrjlpajt8eUZQ_RgWw,Stopped here on our way home from vacation and was not disappointed.,positive
_D3Yvrjlpajt8eUZQ_RgWw,We were greeted and seated right away.,positive
_D3Yvrjlpajt8eUZQ_RgWw,Our waitress was friendly and took care of us throughout our time there.,positive
_D3Yvrjlpajt8eUZQ_RgWw,One thing I want to mention that I found very nice is that since there's currently a shortage on feminine products they were kind enough to supply them in the stalls of the women's bathroom.,positive
_D3Yvrjlpajt8eUZQ_RgWw,It's the first time I've seen this and was pleasantly surprised.,positive
_D3Yvrjlpajt8eUZQ_RgWw,I ordered the sampler for lunch and enjoyed it.,positive
_D3Yvrjlpajt8eUZQ_RgWw,The plates all came out hot and very tasty.,positive
_D3Yvrjlpajt8eUZQ_RgWw,If you like American food you can't go wrong with this place.,positive
w8IkjL6Y6WMoZXsMhIy0vQ,Called ahead for a party of 8.,neutral
w8IkjL6Y6WMoZXsMhIy0vQ,No problem.,positive
w8IkjL6Y6WMoZXsMhIy0vQ,Arrived to a mostly empty house.,negative
w8IkjL6Y6WMoZXsMhIy0vQ,We left after an hour when our meals were not delivered and my drink had been empty for 25 mins.,negative
e3oGMnICb5pLZpGdegFpXA,They serve us in the very best way every Tuesday.,positive
e3oGMnICb5pLZpGdegFpXA,They are very special people....,positive
e3oGMnICb5pLZpGdegFpXA,  Food is fine!,positive
e3oGMnICb5pLZpGdegFpXA, I like burgers and salad!,positive
pqOv8LapJe_0pU1G18_A1Q,I usually don't complain but my experience here was awful.,negative
pqOv8LapJe_0pU1G18_A1Q,"We got our appetizer before our drinks, the waitress kept disappearing, she would say that she's going to refill our drinks and then disappear for upwards of ten minutes and then serve the tables next to us then refill our drinks, my wife asked for A-1 sauce and was given an empty bottle",negative
pqOv8LapJe_0pU1G18_A1Q,", when we were done the table next to us asked for A-1 so the waitress came to our table and said I'm taking this, my wife replied that it was empty when she got it, we waited about 20 minutes to get our bill after we were done, all in all it took about an hour and a half to complete our dinner.",negative
pqOv8LapJe_0pU1G18_A1Q,I received this comment below so I sent 3 emails per their instructions and it's been days and haven't heard anything.,negative
pqOv8LapJe_0pU1G18_A1Q,"Update, I sent the email to the address they provided below and it's been a week with no response so maybe they just post this to make themselves look redeemed with no actual follow through??",negative
BZyxkWGOvR-mRVHywlkpoA,Besides a longer wait than I would of liked I understand there is a major staff shortage basically everywhere across the country.,negative
BZyxkWGOvR-mRVHywlkpoA,"The food was good, they took good precautions to keep things clean and sanitary, and despite the wait the staff was friendly and courteous.",positive
P3gQXqXJPIrbDoGQCcqghQ,Such a poor experience.,negative
P3gQXqXJPIrbDoGQCcqghQ,"Asked for Burger, no onion-Yup had onion.",negative
P3gQXqXJPIrbDoGQCcqghQ,"Ordered a loaded bake potato-served french friesSmall item, asked for lemon with my water, no lemon (",negative
P3gQXqXJPIrbDoGQCcqghQ,no biggie).Just,negative
P3gQXqXJPIrbDoGQCcqghQ,"because, I requested the one dollar for the ""loaded"" part of the baked potato to be removed.",negative
P3gQXqXJPIrbDoGQCcqghQ, A manager was required to delete the dollar.,negative
P3gQXqXJPIrbDoGQCcqghQ," He came over...so I showed him the Onion, Fries and water without.",neutral
P3gQXqXJPIrbDoGQCcqghQ, His reply was a judging laugh.,negative
P3gQXqXJPIrbDoGQCcqghQ,Ruby Tuesday management-you have work to do.,negative
P3gQXqXJPIrbDoGQCcqghQ,My suggestion-go to the Sheetz across the street!,negative
nBUMyWkFdEVVdPH5tjGnRg,This is certainly one of the better BurgerPalace the salad bar was really well maintained with many choices that were fresh.,positive
nBUMyWkFdEVVdPH5tjGnRg,We both had a steak special which was cooked correctly and had a nice flavor.,positive
nBUMyWkFdEVVdPH5tjGnRg,Our server was outstanding.,positive
wqDZMcThiwUrJCnIs3vYKg,Due to Covid 19 this location had just opened when we were there.,neutral
wqDZMcThiwUrJCnIs3vYKg,It was almost 2 hours to get seated and food.,negative
wqDZMcThiwUrJCnIs3vYKg,That said they are trying so hard.,negative
wqDZMcThiwUrJCnIs3vYKg,Be patient.,positive
wqDZMcThiwUrJCnIs3vYKg,The staff was very friendly and tried hard to accommodate!,positive
wqDZMcThiwUrJCnIs3vYKg,The manager was hustling and went to every table to see how they were.,neutral
wqDZMcThiwUrJCnIs3vYKg,"To me any negative comments would be due to circumstances beyond their control, so I have none.",negative
Syo3joC0zQ94tazngZcCwg,We ordered Hickory Bourbon Salmon and it was very good and tender.,positive
Syo3joC0zQ94tazngZcCwg,It was a pick up order and everything was according to our instructions.,positive
No7RENe66pcXWKXdq4_R3A,The food was good but we ordered online and the website said it would be ready in 15 minutes and it was 45 minutes before we got it (we picked it ip).,negative
No7RENe66pcXWKXdq4_R3A,"Also, the kids' meals come with a drink which the website makes you chose (it doesn't let you continue until you chose something) and we didn't get them.",negative
LMXhzEWP3eqJVTqkzJtH9A,"I have gluten-intolerance, did not expect anything more than a salad when going there by myself due to a flight overnight delay.",negative
LMXhzEWP3eqJVTqkzJtH9A,"It was a surprise that staff, Dana, has very good knowledge about gluten-intolerance.",positive
LMXhzEWP3eqJVTqkzJtH9A,"She let me know that they have a gluten-free menu online, and sat down with me helped me craft a burger, no bun+garden salad.",neutral
LMXhzEWP3eqJVTqkzJtH9A,"On top of it, she made sure the burger would be grilled separately on new foil.",negative
LMXhzEWP3eqJVTqkzJtH9A,This is the first safe burger after I went complete gluten-free.,positive
LMXhzEWP3eqJVTqkzJtH9A,Of course I loved it!,positive
LMXhzEWP3eqJVTqkzJtH9A,Really appreciate Dana and the chef's help :),positive
skzogvbpti5FSNsJ4Tanfg,"Food was good, waiter was friendly, everything came out at a decent time, only complaint was my burger was slightly undercooked for my liking, yet was still very tastyEdit: cookie skillet is the best dessert i have ever had",positive
vr-HDwRltiddgGf26djH7g,The hickory bourbon salmon is amazing and the service is top notch.,positive
vr-HDwRltiddgGf26djH7g,Ask to sit in Thomas' section.,neutral
vr-HDwRltiddgGf26djH7g,He goes above and beyond.,positive
3cauiAM4gWgdXb8lgVIkYw,Went for lunch with my daughter and grandson.,neutral
3cauiAM4gWgdXb8lgVIkYw,The food was great and wonderful server named Erin,positive
EDv3EgkZN_pLNDMsw0_9kQ,Where do I begin?,neutral
EDv3EgkZN_pLNDMsw0_9kQ," It's a Saturday night, we walk into the restaurant and we aren't even acknowledged for about 4-5 minutes.",negative
EDv3EgkZN_pLNDMsw0_9kQ, They were not busy at all surprisingly.,neutral
EDv3EgkZN_pLNDMsw0_9kQ," When we asked if we could have a table for two the person seating us said ""yeah"".  ",neutral
EDv3EgkZN_pLNDMsw0_9kQ,She then walks us to a dirty table (mind you there were tons of clean tables) that has one chair.,negative
EDv3EgkZN_pLNDMsw0_9kQ," She says ""hold on while I get you a chair, oh and I'll have to wipe the table.""   We asked if we could just have one of the clean tables.",negative
EDv3EgkZN_pLNDMsw0_9kQ, She seemed surprised but she did let of have a booth.,neutral
EDv3EgkZN_pLNDMsw0_9kQ, ,neutral
EDv3EgkZN_pLNDMsw0_9kQ,Mind you my girlfriend has to walk with a cane after a knee operation.,negative
EDv3EgkZN_pLNDMsw0_9kQ, We finally get seated and the waitress passes us by about 7 times before coming to our table and asking if we were ready to order.,negative
EDv3EgkZN_pLNDMsw0_9kQ, We were not offered drinks.,negative
EDv3EgkZN_pLNDMsw0_9kQ, We order our food and drinks at the same time.,neutral
EDv3EgkZN_pLNDMsw0_9kQ, The waitress then says she will get our drinks right away.,neutral
EDv3EgkZN_pLNDMsw0_9kQ, She walks off.,negative
EDv3EgkZN_pLNDMsw0_9kQ," About 10 minutes later, still no drinks.",negative
EDv3EgkZN_pLNDMsw0_9kQ, So I walk over to where she is.,neutral
EDv3EgkZN_pLNDMsw0_9kQ, She is sitting at the table counting her tips.  I agin request our drinks.,neutral
EDv3EgkZN_pLNDMsw0_9kQ, She finally brings them over and starts talking about how they are short staffed.,neutral
EDv3EgkZN_pLNDMsw0_9kQ,(Isn't everyone these days?),neutral
EDv3EgkZN_pLNDMsw0_9kQ,  I am not sure how that applies to her forgetting our drinks.,negative
EDv3EgkZN_pLNDMsw0_9kQ, So now she goes on and talks about how she is a school teacher that lost her job during the pandemic but has worked at the restaurant for a while.,neutral
EDv3EgkZN_pLNDMsw0_9kQ,  She goes on about all of the lazy kids they are hiring.,negative
EDv3EgkZN_pLNDMsw0_9kQ, She then said her daughter works there but isn't one of the lazy ones.,neutral
EDv3EgkZN_pLNDMsw0_9kQ,We finally get our food.,positive
