,review_id,review_rating,review_sentences,label,rating_category
62,3QFvz5edaWmnbGwxyN6PNA,1,"The waitress was polite enough, but obviously over worked as she was serving at tables and behind the bar, then apparently forgot I was there and I had to stand up and leave the table to get her attention.",Negative,negative
63,3QFvz5edaWmnbGwxyN6PNA,1,All I wanted to do was pay and get out of there.,Negative,negative
64,3QFvz5edaWmnbGwxyN6PNA,1,"The ""hostess"" intervened and asked what I wanted.",neutral,negative
65,3QFvz5edaWmnbGwxyN6PNA,1,I said all I want is the check and to leave.,neutral,negative
66,3QFvz5edaWmnbGwxyN6PNA,1,She took that as an insult and accused me of yelling at her.,Negative,negative
67,3QFvz5edaWmnbGwxyN6PNA,1,"Seriously, I did not yell at her.",Somewhat negative,negative
68,3QFvz5edaWmnbGwxyN6PNA,1,She obviously was having a bad day.,Neutral,negative
69,3QFvz5edaWmnbGwxyN6PNA,1,"I pointed out that I was aware they are understaffed, as is every restaurant in the country...still, not my fault.",Somewhat negative,negative
70,3QFvz5edaWmnbGwxyN6PNA,1,$15 to $20 for a plate of ...whatever...,Somewhat negative,negative
71,3QFvz5edaWmnbGwxyN6PNA,1,I expect a little better quality and service.,Somewhat negative,negative
72,3QFvz5edaWmnbGwxyN6PNA,1,"That said, not a nice experience and not a clean environment.",Negative,negative
73,P2vwgdFSB8EFUAOOBBj_dQ,4,I figured I would try BurgerPalace again since it's been quite a while since I went and got sick from their food.,Neutral,negative
74,P2vwgdFSB8EFUAOOBBj_dQ,4,Yesterday I ordered the salad bar and I loved it!,Positive,positive
75,P2vwgdFSB8EFUAOOBBj_dQ,4,Our waitress was super nice too!!,Positive,positive
76,P2vwgdFSB8EFUAOOBBj_dQ,4,"The restaurant was clean, everything was fresh and my friend and I just had a nice experience.",Positive,positive
77,P2vwgdFSB8EFUAOOBBj_dQ,4,The bathroom was even clean which I was really surprised by!!,Positive,positive
78,P2vwgdFSB8EFUAOOBBj_dQ,4,I will say the salad bar is definitely not worth $15 though.,Somewhat negative,negative
79,P2vwgdFSB8EFUAOOBBj_dQ,4,"I suggest ordering a meal and adding the salad bar to it, and you can just take your meal home with you.",Neutral,negative
80,P2vwgdFSB8EFUAOOBBj_dQ,4,It actually can be cheaper and you get more for your money.,Somewhat positive,positive
81,P2vwgdFSB8EFUAOOBBj_dQ,4,I will be back for sure!!,Positive,positive
82,a05LFqlf_hojMUVgwkg0GQ,1,It's getting horrible to find a nice decent Restaurant here in Middletown NY,Somewhat negative,negative
83,a05LFqlf_hojMUVgwkg0GQ,1,My oldest son wanted to know where I wanted To go for Mother's Day todayI told him BurgerPalace,Neutral,negative
84,a05LFqlf_hojMUVgwkg0GQ,1,Well - it was just horrible !,Negative,negative
85,a05LFqlf_hojMUVgwkg0GQ,1,Look it's not About the price !,Somewhat negative,negative
86,a05LFqlf_hojMUVgwkg0GQ,1,It's all about what they offer & service !,Somewhat negative,negative
87,a05LFqlf_hojMUVgwkg0GQ,1,About 2-3 years ago they had this great Offer on this day The entire dinner & including desert For a low price !,Somewhat positive,positive
88,a05LFqlf_hojMUVgwkg0GQ,1,It was awesome !,Positive,positive
89,a05LFqlf_hojMUVgwkg0GQ,1,The girl got my drink order Wrong ! When she did finally come backTo check I told her !,Negative,negative
90,a05LFqlf_hojMUVgwkg0GQ,1,"She was going to fix it, I told her don't Bother !",Somewhat negative,negative
91,a05LFqlf_hojMUVgwkg0GQ,1,They were putting dirty salad plates out On the salad bar !,Negative,negative
99,3h2L6uxUjK3sJr94B_-Scw,1,Service was less than good and the sandwiches we ordered came out warmish.,Negative,negative
100,3h2L6uxUjK3sJr94B_-Scw,1,We wanted dessert but she just came out straight with the check without asking smh.,Somewhat negative,negative
101,3h2L6uxUjK3sJr94B_-Scw,1,Dont go here unless you're old af cause servers here apparently dont like customers that are under 30 years for whatever reason.,Negative,negative
102,3h2L6uxUjK3sJr94B_-Scw,1,The server's name was kristi by the way,Neutral,negative
103,_O-m9ZSxSLa5ze0ZG4IAjw,4,I have always liked eating at BurgerPalace but I was a bit disappointed w/the blackened fish sandwich.,Somewhat negative,negative
104,_O-m9ZSxSLa5ze0ZG4IAjw,4,It tasted a bit on the frozen side.,Somewhat negative,negative
105,_O-m9ZSxSLa5ze0ZG4IAjw,4,I will definitely come by again but will stay away from the fish.,Somewhat positive,positive
106,Mw0zi8GjswSQQsiI-m2bTQ,1,When your order comes out five times incorrectly there's a problem.,Negative,negative
107,Mw0zi8GjswSQQsiI-m2bTQ,1,When your order comes out five time correctly and the fries are cold every time that's a problem when you order drinks and wait 13 minutes for a lemonade a seltzer and a Diet Coke and that's a problem when you try to pay for your bill but can't find your waitress for 10 minutes that's a problem.,Negative,negative
108,Mw0zi8GjswSQQsiI-m2bTQ,1,I was fortunate enough to meet the owner of this establishment a few years ago I don't think he owns it anymore because it has taken such a dive.,Negative,negative
109,Mw0zi8GjswSQQsiI-m2bTQ,1,Everything was awful even the lemonade.,Negative,negative
110,Mw0zi8GjswSQQsiI-m2bTQ,1,No manager came over to apologize.,Negative,negative
111,Mw0zi8GjswSQQsiI-m2bTQ,1,And I almost forgot the flies.,Negative,negative
112,nZ2TxmQzbnutfEtMGx5UOA,1,I went in requestong a table for 2 and they told me they had stopped seating at 8:30 so I ordered to go food then while waiting for my food a family of 6 came in and they seated them immediately.,Negative,negative
113,nZ2TxmQzbnutfEtMGx5UOA,1,What kind of racist B.S. is this???,Negative,negative
114,nZ2TxmQzbnutfEtMGx5UOA,1,I'm Latina and the family was white.,Negative,negative
115,nZ2TxmQzbnutfEtMGx5UOA,1,NEVER AGAIN!!!! KEEP YOUR FAMILY AWAY FROM THEM.,Negative,negative
116,zHkHOnEGKN3mg7LOCUu9jw,2,"Ordered a cobb salad take-out, and a coworker picked it up.",Neutral,negative
117,zHkHOnEGKN3mg7LOCUu9jw,2,"It came with no egg, and it was all crappy iceberg lettuce.",Neutral,negative
118,zHkHOnEGKN3mg7LOCUu9jw,2,"Dressing was so thinned out, it was like pouring milk onto the salad.",Negative,negative
119,zHkHOnEGKN3mg7LOCUu9jw,2,"For $12.99, I expected better.",Negative,negative
120,zHkHOnEGKN3mg7LOCUu9jw,2,Won't be back.,Negative,negative
121,xTy_AzXy-6veQ4H1YaAKpQ,2,Skip the turkey burger.,Negative,negative
122,xTy_AzXy-6veQ4H1YaAKpQ,2,Definitely came from a box.,Negative,negative
123,xTy_AzXy-6veQ4H1YaAKpQ,2,Unidentifiable as turkey or a burger.,Negative,negative
124,xTy_AzXy-6veQ4H1YaAKpQ,2,Service was ok.,Somewhat positive,positive
136,4LbWuFSI-kgMM82bPrq3Fw,1,It's now been a 35 minutes of sitting in the parking lot and still no food.,Negative,negative
137,4LbWuFSI-kgMM82bPrq3Fw,1,It is hard to imagine there is a valid reason for this.,Neutral,negative
138,4LbWuFSI-kgMM82bPrq3Fw,1,We stopped dining in when the salad bar closed.,Somewhat negative,negative
139,4LbWuFSI-kgMM82bPrq3Fw,1,There's not a chance we'll order take out here again.,Negative,negative
140,4LbWuFSI-kgMM82bPrq3Fw,1,Update 40 minute total wait in parking lot.,Negative,negative
141,hCfgWPMbh5ypKOUCgi8hCw,1,If I could give zero stars I would.,Negative,negative
142,hCfgWPMbh5ypKOUCgi8hCw,1,Do not go here!,Negative,negative
143,hCfgWPMbh5ypKOUCgi8hCw,1,Horrible in so many ways!,Negative,negative
144,hCfgWPMbh5ypKOUCgi8hCw,1,Visited on a quiet Tuesday night.,Neutral,negative
145,hCfgWPMbh5ypKOUCgi8hCw,1,My friend waited in entrance for ten minutes waiting to be seated.,Neutral,negative
146,hCfgWPMbh5ypKOUCgi8hCw,1,No staff to be seen.,Negative,negative
147,hCfgWPMbh5ypKOUCgi8hCw,1,She had to go to the bar and ask someone to seat us.,Negative,negative
148,hCfgWPMbh5ypKOUCgi8hCw,1,Ordered our dinner.,Neutral,negative
149,hCfgWPMbh5ypKOUCgi8hCw,1,My daughter asked for a side of mashed potatoes it was gross but the smallest portion then charged us $3.99!,Negative,negative
150,hCfgWPMbh5ypKOUCgi8hCw,1,My daughters friend ordered artichoke dip with endless tortilla chips.,Neutral,negative
151,hCfgWPMbh5ypKOUCgi8hCw,1,Ran out of chips so asked for more.,Neutral,negative
152,hCfgWPMbh5ypKOUCgi8hCw,1,Literally ten minutes later the waitress came out with a super small bowl that literally had five chips in it?,Negative,negative
153,hCfgWPMbh5ypKOUCgi8hCw,1,Was this a joke?,Negative,negative
154,hCfgWPMbh5ypKOUCgi8hCw,1,Not funny!,Negative,negative
155,hCfgWPMbh5ypKOUCgi8hCw,1,Skimpy and that's just ridiculous!,Negative,negative
156,hCfgWPMbh5ypKOUCgi8hCw,1,My friend ordered a glass of wine.,Neutral,negative
157,hCfgWPMbh5ypKOUCgi8hCw,1,She received before meal but it was bad so she went to the bartender and asked for a new glass.,Negative,negative
158,hCfgWPMbh5ypKOUCgi8hCw,1,Bartender said they would bring to table.,Neutral,negative
159,hCfgWPMbh5ypKOUCgi8hCw,1,Wine never showed.,Negative,negative
171,vIF6IToLEb1MliVHyHSypQ,1,My family and I came in on a Monday evening.,Neutral,negative
172,vIF6IToLEb1MliVHyHSypQ,1,There were 6 of us and we were the only customers in the restaurant.,Somewhat negative,negative
173,vIF6IToLEb1MliVHyHSypQ,1,It took about 20 minutes for us to get some water and about an additional 20 minutes to get our alcoholic beverages.,Somewhat negative,negative
174,vIF6IToLEb1MliVHyHSypQ,1,The salad was soggy and the bowl was filled with brown water.,Negative,negative
175,vIF6IToLEb1MliVHyHSypQ,1,The tilapia was extremely fishy we had to send it back.,Negative,negative
176,vIF6IToLEb1MliVHyHSypQ,1,The service was extremely slow.,Negative,negative
177,vIF6IToLEb1MliVHyHSypQ,1,We will not be coming back to this establishment.,Negative,negative
178,sLCLgiWDMgKC25LHCLqlSg,2,This actually used to be one of our favorite places to go for a good and inexpensive meal.,Somewhat positive,positive
179,sLCLgiWDMgKC25LHCLqlSg,2,The salad bar alone drew us back again and again for a fresh and healthy meal.,Positive,positive
180,sLCLgiWDMgKC25LHCLqlSg,2,This place has gone totally downhill.,Negative,negative
181,sLCLgiWDMgKC25LHCLqlSg,2,"Repeatedly our favorite the garden bar has been poorly stocked, not fresh, missing items, and a complete untidy mess.",Negative,negative
182,sLCLgiWDMgKC25LHCLqlSg,2,Tonight we stopped in for a couple of burgers.,Negative,negative
183,sLCLgiWDMgKC25LHCLqlSg,2,"The restaurant was uncrowded, but we sat there for over half an hour after putting in our order until our meals finally arrived, and when they did the fries were cold.",Negative,negative
184,sLCLgiWDMgKC25LHCLqlSg,2,"Our waitress did get us a new plate of fries (and they were excellent, hot and fresh).",Somewhat positive,positive
185,sLCLgiWDMgKC25LHCLqlSg,2,"At no point did she or anyone else inform us while waiting that there was a delay, apologize for the delay, ask how the rest of the meal was, or apologize about the cold fries.",Negative,negative
186,sLCLgiWDMgKC25LHCLqlSg,2,"Back in ancient history when we enjoyed eating here, if there was a problem we'd see a manager come up and express concern, even offer some compensation such as a complimentary desert, but a manager was nowhere to be seen tonight.",Somewhat negative,negative
187,sLCLgiWDMgKC25LHCLqlSg,2,"And that, likely, is the root of the problem.",Somewhat negative,negative
188,sLCLgiWDMgKC25LHCLqlSg,2,"Either no one is watching the store, or they just don't care.",Somewhat negative,negative
189,sLCLgiWDMgKC25LHCLqlSg,2,It shows.,Negative,negative
190,1GXfM3UcEs8OneG1lf4MlA,1,Does not even deserve a one star.,Negative,negative
191,1GXfM3UcEs8OneG1lf4MlA,1,Service was horrible salad bar was disgusting the tea looked like beer.,Negative,negative
192,1GXfM3UcEs8OneG1lf4MlA,1,We just walked out.,Negative,negative
193,1GXfM3UcEs8OneG1lf4MlA,1,Ironic thing was another couple walked out as well at the same time.,Negative,negative
194,1GXfM3UcEs8OneG1lf4MlA,1,It would be different if the employees actually cared and we're trying to fix the salad bar or wait on us but we had been there for a long time before we ever even got asked what we wanted to drink.,Negative,negative
195,1GXfM3UcEs8OneG1lf4MlA,1,Management was horrible!,Negative,negative
196,1GXfM3UcEs8OneG1lf4MlA,1,They were not busy and didn't appear to be understaffed due to the employees standing around just talking.,Negative,negative
197,_D3Yvrjlpajt8eUZQ_RgWw,4,Stopped here on our way home from vacation and was not disappointed.,Positive,positive
198,_D3Yvrjlpajt8eUZQ_RgWw,4,We were greeted and seated right away.,Positive,positive
199,_D3Yvrjlpajt8eUZQ_RgWw,4,Our waitress was friendly and took care of us throughout our time there.,Positive,positive
200,_D3Yvrjlpajt8eUZQ_RgWw,4,One thing I want to mention that I found very nice is that since there's currently a shortage on feminine products they were kind enough to supply them in the stalls of the women's bathroom.,Positive,positive
201,_D3Yvrjlpajt8eUZQ_RgWw,4,It's the first time I've seen this and was pleasantly surprised.,Positive,positive
202,_D3Yvrjlpajt8eUZQ_RgWw,4,I ordered the sampler for lunch and enjoyed it.,Positive,positive
203,_D3Yvrjlpajt8eUZQ_RgWw,4,The plates all came out hot and very tasty.,Positive,positive
204,_D3Yvrjlpajt8eUZQ_RgWw,4,If you like American food you can't go wrong with this place.,Positive,positive
211,e3oGMnICb5pLZpGdegFpXA,4,Food is fine!,Somewhat Positive,positive
212,e3oGMnICb5pLZpGdegFpXA,4,I like burgers and salad!,Positive,positive
213,pqOv8LapJe_0pU1G18_A1Q,1,I usually don't complain but my experience here was awful.,Somewhat Negative,negative
214,pqOv8LapJe_0pU1G18_A1Q,1,"We got our appetizer before our drinks, the waitress kept disappearing, she would say that she's going to refill our drinks and then disappear for upwards of ten minutes and then serve the tables next to us then refill our drinks, my wife asked for A-1 sauce and was given an empty bottle",Negative,negative
215,pqOv8LapJe_0pU1G18_A1Q,1,", when we were done the table next to us asked for A-1 so the waitress came to our table and said I'm taking this, my wife replied that it was empty when she got it, we waited about 20 minutes to get our bill after we were done, all in all it took about an hour and a half to complete our dinner.",Negative,negative
216,pqOv8LapJe_0pU1G18_A1Q,1,I received this comment below so I sent 3 emails per their instructions and it's been days and haven't heard anything.,Negative,negative
217,pqOv8LapJe_0pU1G18_A1Q,1,"Update, I sent the email to the address they provided below and it's been a week with no response so maybe they just post this to make themselves look redeemed with no actual follow through??",Negative,negative
218,BZyxkWGOvR-mRVHywlkpoA,4,Besides a longer wait than I would of liked I understand there is a major staff shortage basically everywhere across the country.,Somewhat Negative,negative
219,BZyxkWGOvR-mRVHywlkpoA,4,"The food was good, they took good precautions to keep things clean and sanitary, and despite the wait the staff was friendly and courteous.",Somewhat Positive,positive
220,P3gQXqXJPIrbDoGQCcqghQ,1,Such a poor experience.,Negative,negative
221,P3gQXqXJPIrbDoGQCcqghQ,1,"Asked for Burger, no onion-Yup had onion.",Negative,negative
222,P3gQXqXJPIrbDoGQCcqghQ,1,"Ordered a loaded bake potato-served french friesSmall item, asked for lemon with my water, no lemon (",Somewhat Negative,negative
226,P3gQXqXJPIrbDoGQCcqghQ,1,"He came over...so I showed him the Onion, Fries and water without.",Somewhat Negative,negative
227,P3gQXqXJPIrbDoGQCcqghQ,1,His reply was a judging laugh.,Somewhat Negative,negative
228,P3gQXqXJPIrbDoGQCcqghQ,1,Ruby Tuesday management-you have work to do.,Negative,negative
229,P3gQXqXJPIrbDoGQCcqghQ,1,My suggestion-go to the Sheetz across the street!,Negative,negative
232,nBUMyWkFdEVVdPH5tjGnRg,4,Our server was outstanding.,Positive,positive
235,wqDZMcThiwUrJCnIs3vYKg,4,That said they are trying so hard.,Somewhat Positive,positive
236,wqDZMcThiwUrJCnIs3vYKg,4,Be patient.,Somewhat Positive,positive
237,wqDZMcThiwUrJCnIs3vYKg,4,The staff was very friendly and tried hard to accommodate!,Positive,positive
238,wqDZMcThiwUrJCnIs3vYKg,4,The manager was hustling and went to every table to see how they were.,Somewhat Positive,positive
239,wqDZMcThiwUrJCnIs3vYKg,4,"To me any negative comments would be due to circumstances beyond their control, so I have none.",Somewhat Negative,negative
240,Syo3joC0zQ94tazngZcCwg,4,We ordered Hickory Bourbon Salmon and it was very good and tender.,Positive,positive
241,Syo3joC0zQ94tazngZcCwg,4,It was a pick up order and everything was according to our instructions.,Positive,positive
248,LMXhzEWP3eqJVTqkzJtH9A,5,This is the first safe burger after I went complete gluten-free.,Somewhat Positive,positive
249,LMXhzEWP3eqJVTqkzJtH9A,5,Of course I loved it!,Positive,positive
250,LMXhzEWP3eqJVTqkzJtH9A,5,Really appreciate Dana and the chef's help :),Positive,positive
251,skzogvbpti5FSNsJ4Tanfg,4,"Food was good, waiter was friendly, everything came out at a decent time, only complaint was my burger was slightly undercooked for my liking, yet was still very tastyEdit: cookie skillet is the best dessert i have ever had",Somewhat Negative,negative
252,vr-HDwRltiddgGf26djH7g,4,The hickory bourbon salmon is amazing and the service is top notch.,Positive,positive
253,vr-HDwRltiddgGf26djH7g,4,Ask to sit in Thomas' section.,Positive,positive
254,vr-HDwRltiddgGf26djH7g,4,He goes above and beyond.,Positive,positive
255,3cauiAM4gWgdXb8lgVIkYw,5,Went for lunch with my daughter and grandson.,Neutral,negative
256,3cauiAM4gWgdXb8lgVIkYw,5,The food was great and wonderful server named Erin,Positive,positive
257,EDv3EgkZN_pLNDMsw0_9kQ,2,Where do I begin?,Neutral,negative
267,EDv3EgkZN_pLNDMsw0_9kQ,2,We were not offered drinks.,Negative,negative
271,EDv3EgkZN_pLNDMsw0_9kQ,2,"About 10 minutes later, still no drinks.",Negative,negative
273,EDv3EgkZN_pLNDMsw0_9kQ,2,She is sitting at the table counting her tips. I agin request our drinks.,Negative,negative
297,FKqjab6kLaGZRGD1tW8K2w,4,Ordered carry out as dining is closed.,Somewhat Negative,negative
298,FKqjab6kLaGZRGD1tW8K2w,4,Smokey Mountain Chicken with broccoli and grilled asparagas was delicious.,Positive,positive
299,FKqjab6kLaGZRGD1tW8K2w,4,Wife said her burger was perfectly done.,Positive,positive
300,FKqjab6kLaGZRGD1tW8K2w,4,"Thank you, chef.",Positive,positive
301,ioIsWD86tSKDEtjplVmC5A,3,We really enjoy going to BurgerPalace in Canton.,Positive,positive
302,ioIsWD86tSKDEtjplVmC5A,3,The staff is very pleasant and the food is good.,Somewhat Positive,positive
306,dQR6feJ88mMmz--J14w-dA,1,Have never been so disappointed in my life.,Negative,negative
308,dQR6feJ88mMmz--J14w-dA,1,"We saw her to order our food , deliver our food and for our bill that's it never to check to see how we were doing.",Negative,negative
309,dQR6feJ88mMmz--J14w-dA,1,"We got three meals a Brisket Sandwich- dry overcooked brisket my cheese was put on after my sandwich was cut and was unmelted and uncut, Chicken Tender - overcook to the point they couldn't be eaten fries were over cooked , Bacon Cheese Burger- asked for medium rare with no tomato received a well done burger with a juicy tomato.",Negative,negative
310,dQR6feJ88mMmz--J14w-dA,1,On the plus side the fires were cooked perfect just had no flavor.,Somewhat Positive,positive
311,gz-sn_2Q_edjJAlGRwbUzQ,1,"This use to be my go to restaurant with my children after sports , school, etc. always great service and food consistently good.",Positive,positive
312,gz-sn_2Q_edjJAlGRwbUzQ,1,Stopped by for a quick lunch with my mother- food barely edible!!,Negative,negative
317,gz-sn_2Q_edjJAlGRwbUzQ,1,So first off- the dish sucked and had she known you were still charging her 8.00 for 3 rubbery shrimp my mom would have said take the entire dish - it was that bad!,Negative,negative
319,gz-sn_2Q_edjJAlGRwbUzQ,1,I got the garlic parm wings and loaded potato- potato about size of my palm and the wings- over cooked and chewy.,Negative,negative
320,gz-sn_2Q_edjJAlGRwbUzQ,1,This all makes me sad- this was one of a few chain restaurants I loved.,Somewhat Negative,negative
321,gz-sn_2Q_edjJAlGRwbUzQ,1,I get staffing and supply shortages- and try to not complain- however this was unacceptable at best.,Negative,negative
322,b4zA27-LAIfHoE4BXmb92Q,5,You can still do the salad bar.,Somewhat Positive,positive
323,b4zA27-LAIfHoE4BXmb92Q,5,That with a loaded baked potato makes the best meal for me and don't forget the BurgerPalace Relaxer or 2.,Negative,negative
328,TYKJ-Pzz7uo4RFiaY1HqRQ,1,"We were seated right away, not very busy for a Friday night.",Somewhat Positive,positive
329,TYKJ-Pzz7uo4RFiaY1HqRQ,1,Guess that should of clued us in.,Somewhat Negative,negative
330,TYKJ-Pzz7uo4RFiaY1HqRQ,1,Started with the bone in buffalo wings app.,Neutral,negative
331,TYKJ-Pzz7uo4RFiaY1HqRQ,1,"They were good, but $12.99 for 8 pieces was a little steep.",Somewhat Positive,positive
332,TYKJ-Pzz7uo4RFiaY1HqRQ,1,My wife ordered the Asiago bacon chicken.,Neutral,negative
333,TYKJ-Pzz7uo4RFiaY1HqRQ,1,"The menu described it as TWO chicken breasts, and she received one small piece of chicken, so no leftovers and it was $18.99!",Somewhat Negative,negative
334,TYKJ-Pzz7uo4RFiaY1HqRQ,1,I ordered the 12 oz. Ribeye steak for $22.99 and told the waitress medium.,Neutral,negative
336,TYKJ-Pzz7uo4RFiaY1HqRQ,1,My steak arrived and was well done.,Negative,negative
337,TYKJ-Pzz7uo4RFiaY1HqRQ,1,Not a trace of pink.,Negative,negative
338,TYKJ-Pzz7uo4RFiaY1HqRQ,1,The quality of the cut was not too good and I doubt it was a 12 oz.,Somewhat Positive,positive
339,TYKJ-Pzz7uo4RFiaY1HqRQ,1,I have had better prime ribs for less.,Somewhat Negative,negative
340,TYKJ-Pzz7uo4RFiaY1HqRQ,1,I waited to tell the waitress but she never returned to check on us.,Neutral,negative
344,TYKJ-Pzz7uo4RFiaY1HqRQ,1,For $13.99 it was a disappointment.,Negative,negative
345,TYKJ-Pzz7uo4RFiaY1HqRQ,1,My other sons choice was the smokehouse burger for $12.99.,Neutral,negative
